Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
23;0;27;no;1;no;"{""code"": ""20017"", ""name"": ""Saint-Blaise - Mouraud"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1516834848, ""gps"": {""latitude"": 48.85696177597818, ""longitude"": 2.40869477391243}}";27;yes;1;3;no;1;1;0;20017;Saint-Blaise - Mouraud;Operative;yes;48.856961776, 2.40869477391;2018-01-24
30;0;32;no;1;yes;"{""code"": ""15020"", ""name"": ""Mairie du 15ème"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1518130810, ""gps"": {""latitude"": 48.8417762, ""longitude"": 2.2986539}}";32;yes;0;2;no;0;0;0;15020;Mairie du 15ème;Operative;yes;48.8417762, 2.2986539;2018-02-08
27;0;34;no;0;no;"{""code"": ""41206"", ""name"": ""Place des Larris"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1552604400, ""gps"": {""latitude"": 48.8568363, ""longitude"": 2.4780236}}";0;yes;0;2;no;0;1;0;41206;Place des Larris;Operative;yes;48.8568363, 2.4780236;2019-03-14
20;0;37;no;1;yes;"{""code"": ""1022"", ""name"": ""Danielle Casanova - Place Vendôme"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1546300800, ""gps"": {""latitude"": 48.86826649822326, ""longitude"": 2.3304839059710503}}";37;yes;1;13;no;1;4;0;1022;Danielle Casanova - Place Vendôme;Operative;yes;48.8682664982, 2.33048390597;2019-01-01
28;0;35;no;1;no;"{""code"": ""3101"", ""name"": ""Porte Saint-Martin"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1532901600, ""gps"": {""latitude"": 48.86860172112996, ""longitude"": 2.35570102930069}}";0;yes;0;1;no;0;5;0;3101;Porte Saint-Martin;Operative;yes;48.8686017211, 2.3557010293;2018-07-29
24;0;33;no;0;yes;"{""code"": ""23302"", ""name"": ""Parc de Sceaux - Centre-Ville"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1552648500, ""gps"": {""latitude"": 48.7769529826096, ""longitude"": 2.2957214713096623}}";0;yes;0;5;no;0;4;0;23302;Parc de Sceaux - Centre-Ville;Operative;yes;48.7769529826, 2.29572147131;2019-03-15
0;0;0;no;1;yes;"{""code"": ""6031"", ""name"": ""Pierre Sarrazin - Saint-Michel"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1553986800, ""gps"": {""latitude"": 48.85090814639774, ""longitude"": 2.3421307280659676}}";33;yes;27;5;no;33;0;0;6031;Pierre Sarrazin - Saint-Michel;Operative;no;48.8509081464, 2.34213072807;2019-03-30
11;0;15;no;1;no;"{""code"": ""4109"", ""name"": ""Mornay - Sully"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1559167200, ""gps"": {""latitude"": 48.84970399548416, ""longitude"": 2.364460788667202}}";0;yes;0;1;no;0;2;0;4109;Mornay - Sully;Operative;yes;48.8497039955, 2.36446078867;2019-05-29
33;0;42;no;1;no;"{""code"": ""21952"", ""name"": ""Place Tony de Graaff"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1552986000, ""gps"": {""latitude"": 48.8181645, ""longitude"": 2.2458109}}";0;yes;0;8;no;0;1;0;21952;Place Tony de Graaff;Operative;yes;48.8181645, 2.2458109;2019-03-19
21;0;22;no;1;no;"{""code"": ""17104"", ""name"": ""Jardin Marguerite Long"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1527717600, ""gps"": {""latitude"": 48.8816985773914, ""longitude"": 2.2836575657129288}}";10;yes;0;1;no;0;0;0;17104;Jardin Marguerite Long;Operative;yes;48.8816985774, 2.28365756571;2018-05-30
